team,player1,player2,p1_pos,p2_pos,co_games,joi90,jdi90,offensive,defensive
Brazil,Alex Sandro Lobo Silva,Raphael Dias Belloli,Right Back,Right Wing,3,0.144098,-2.662246,5.251,4.3587
Brazil,Raphael Dias Belloli,Thiago Emiliano da Silva,Right Wing,Substitute,5,0.122889,-2.341741,4.4781,5.3557
Brazil,Alisson Ramsés Becker,Lucas Tolentino Coelho de Lima,Substitute,Substitute,5,0.0004,-2.168894,0.0146,5.8934
Brazil,Alex Sandro Lobo Silva,Frederico Rodrigues Santos,Right Back,Right Defensive Midfield,3,0.032832,-2.613795,1.1964,4.5094
Brazil,Alex Sandro Lobo Silva,Rodrygo Silva de Goes,Right Back,Center Attacking Midfield,3,0.122494,-2.483018,4.4637,4.9162
Brazil,Neymar da Silva Santos Junior,Rodrygo Silva de Goes,Center Attacking Midfield,Center Attacking Midfield,3,0.339067,-2.04378,10.0,6.2826
Brazil,Carlos Henrique Casimiro,Frederico Rodrigues Santos,Substitute,Right Defensive Midfield,5,0.064644,-2.255486,2.3556,5.624
Brazil,Carlos Henrique Casimiro,Rodrygo Silva de Goes,Substitute,Center Attacking Midfield,5,0.289454,-2.081502,10.0,6.1653
Brazil,Raphael Dias Belloli,Rodrygo Silva de Goes,Right Wing,Center Attacking Midfield,5,0.010957,-2.016117,0.3993,6.3686
Brazil,Alex Sandro Lobo Silva,Antony Matheus dos Santos,Right Back,Right Wing,3,0.043414,-2.615975,1.582,4.5026
Brazil,Antony Matheus dos Santos,Gabriel Fernando de Jesus,Right Wing,Center Forward,3,0.069343,-1.014141,2.5269,9.4856
Brazil,Gabriel Fernando de Jesus,Rodrygo Silva de Goes,Center Forward,Center Attacking Midfield,3,0.145949,-1.014469,5.3184,9.4846
Brazil,Frederico Rodrigues Santos,Gabriel Fernando de Jesus,Right Defensive Midfield,Center Forward,3,0.246182,-1.287868,8.9709,8.6341
Brazil,Frederico Rodrigues Santos,Raphael Dias Belloli,Right Defensive Midfield,Right Wing,5,0.050606,-2.190102,1.8441,5.8274
Brazil,Gabriel Fernando de Jesus,Raphael Dias Belloli,Center Forward,Right Wing,3,0.000667,-1.060412,0.0243,9.3416
Brazil,Danilo Luiz da Silva,Frederico Rodrigues Santos,Left Back,Right Defensive Midfield,4,0.029887,-2.151786,1.0891,5.9466
Brazil,Frederico Rodrigues Santos,Rodrygo Silva de Goes,Right Defensive Midfield,Center Attacking Midfield,5,0.289429,-2.055997,10.0,6.2446
Brazil,Danilo Luiz da Silva,Rodrygo Silva de Goes,Left Back,Center Attacking Midfield,4,0.093106,-2.042844,3.3928,6.2855
Brazil,Antony Matheus dos Santos,Rodrygo Silva de Goes,Right Wing,Center Attacking Midfield,5,0.275797,-1.985612,10.0,6.4635
Brazil,Alex Sandro Lobo Silva,Danilo Luiz da Silva,Right Back,Left Back,3,0.010799,-2.324683,0.3935,5.4088
Brazil,Antony Matheus dos Santos,Carlos Henrique Casimiro,Right Wing,Substitute,5,0.087872,-2.185101,3.2021,5.843
Brazil,Gabriel Teodoro Martinelli Silva,Rodrygo Silva de Goes,Left Wing,Center Attacking Midfield,5,0.127104,-1.848252,4.6317,6.8908
Brazil,Frederico Rodrigues Santos,Marcos Aoás Corrêa,Right Defensive Midfield,Left Back,5,0.029447,-2.427645,1.0731,5.0885
Brazil,Antony Matheus dos Santos,Frederico Rodrigues Santos,Right Wing,Right Defensive Midfield,5,0.167601,-2.159597,6.1074,5.9223
Brazil,Antony Matheus dos Santos,Danilo Luiz da Silva,Right Wing,Left Back,4,0.038137,-2.153421,1.3897,5.9415
Brazil,Marcos Aoás Corrêa,Rodrygo Silva de Goes,Left Back,Center Attacking Midfield,5,0.045785,-2.253661,1.6684,5.6297
Brazil,Gabriel Fernando de Jesus,Gabriel Teodoro Martinelli Silva,Center Forward,Left Wing,3,0.249307,-1.007032,9.0848,9.5077
Brazil,Frederico Rodrigues Santos,Thiago Emiliano da Silva,Right Defensive Midfield,Substitute,5,0.018548,-2.381621,0.6759,5.2316
Brazil,Antony Matheus dos Santos,Marcos Aoás Corrêa,Right Wing,Left Back,5,0.075074,-2.35726,2.7357,5.3074
Brazil,Alex Sandro Lobo Silva,Gabriel Teodoro Martinelli Silva,Right Back,Left Wing,3,0.004765,-2.354162,0.1736,5.3171
Brazil,Alisson Ramsés Becker,Raphael Dias Belloli,Substitute,Right Wing,5,0.01315,-2.118506,0.4792,6.0501
Brazil,Marcos Aoás Corrêa,Richarlison de Andrade,Left Back,Substitute,5,0.139022,-1.950365,5.066,6.5732
Brazil,Danilo Luiz da Silva,Gabriel Fernando de Jesus,Left Back,Center Forward,2,0.0,-1.03916,0.0,9.4078
Brazil,Gabriel Fernando de Jesus,Marcos Aoás Corrêa,Center Forward,Left Back,3,0.018256,-1.418839,0.6652,8.2267
Brazil,Alex Nicolao Telles,Alex Sandro Lobo Silva,Left Back,Right Back,2,0.0,-1.645298,0.0,7.5222
Brazil,Alex Nicolao Telles,Alisson Ramsés Becker,Left Back,Substitute,3,0.014,-1.547857,0.5102,7.8253
Brazil,Alex Nicolao Telles,Antony Matheus dos Santos,Left Back,Right Wing,3,0.014522,-1.29759,0.5292,8.6038
Brazil,Alex Nicolao Telles,Bruno Guimarães Rodriguez Moura,Left Back,Right Defensive Midfield,3,0.022707,-1.505723,0.8275,7.9564
Brazil,Alex Nicolao Telles,Carlos Henrique Casimiro,Left Back,Substitute,3,0.005966,-1.507854,0.2174,7.9498
Brazil,Alex Nicolao Telles,Daniel Alves da Silva,Left Back,Right Back,3,-0.006333,-1.247994,0.0,8.7581
Brazil,Alex Nicolao Telles,Danilo Luiz da Silva,Left Back,Left Back,2,0.0,-1.391992,0.0,8.3102
Brazil,Alex Nicolao Telles,Ederson Santana de Moraes,Left Back,Goalkeeper,3,0.039333,-1.22826,1.4333,8.8195
Brazil,Alex Nicolao Telles,Frederico Rodrigues Santos,Left Back,Right Defensive Midfield,3,0.006,-1.571317,0.2186,7.7523
Brazil,Alex Nicolao Telles,Fábio Henrique Tavares,Left Back,Left Defensive Midfield,3,0.031147,-1.305423,1.135,8.5795
Brazil,Alex Nicolao Telles,Gabriel Fernando de Jesus,Left Back,Center Forward,3,0.063919,-1.114915,2.3292,9.1721
Brazil,Alex Nicolao Telles,Gabriel Teodoro Martinelli Silva,Left Back,Left Wing,3,0.075904,-1.290481,2.766,8.626
Brazil,Alex Nicolao Telles,Gleison Bremer Silva Nascimento,Left Back,Left Center Back,3,0.161617,-1.275041,5.8893,8.674
Brazil,Alex Nicolao Telles,Lucas Tolentino Coelho de Lima,Left Back,Substitute,3,0.0,-1.455838,0.0,8.1116
Brazil,Alex Nicolao Telles,Marcos Aoás Corrêa,Left Back,Left Back,3,0.0,-1.702288,0.0,7.3449
Brazil,Alex Nicolao Telles,Neymar da Silva Santos Junior,Left Back,Center Attacking Midfield,1,0.0,-0.615526,0.0,10.0
Brazil,Alex Nicolao Telles,Pedro Guilherme Abreu dos Santos,Left Back,Center Forward,3,0.0,-1.175259,0.0,8.9844
Brazil,Alex Nicolao Telles,Raphael Dias Belloli,Left Back,Right Wing,3,0.0,-1.343861,0.0,8.4599
Brazil,Alex Nicolao Telles,Richarlison de Andrade,Left Back,Substitute,3,0.0,-1.124337,0.0,9.1428
Brazil,Alex Nicolao Telles,Rodrygo Silva de Goes,Left Back,Center Attacking Midfield,3,0.005749,-1.297918,0.2095,8.6028
Brazil,Alex Nicolao Telles,Thiago Emiliano da Silva,Left Back,Substitute,3,0.019142,-1.688816,0.6975,7.3868
Brazil,Alex Nicolao Telles,Vinícius José Paixão de Oliveira Júnior,Left Back,Substitute,3,0.023244,-1.39106,0.847,8.3131
Brazil,Alex Nicolao Telles,Weverton Pereira da Silva,Left Back,Substitute,3,0.0,-1.184681,0.0,8.9551
Brazil,Alex Nicolao Telles,Éder Gabriel Militão,Left Back,Right Center Back,3,-0.013333,-1.469795,0.0,8.0681
Brazil,Alex Nicolao Telles,Éverton Augusto de Barros Ribeiro,Left Back,Center Attacking Midfield,3,0.0,-1.193153,0.0,8.9287
Brazil,Alex Sandro Lobo Silva,Bruno Guimarães Rodriguez Moura,Right Back,Right Defensive Midfield,3,0.046197,-2.435207,1.6834,5.0649
Brazil,Alex Sandro Lobo Silva,Daniel Alves da Silva,Right Back,Right Back,3,0.0,-2.267355,0.0,5.5871
Brazil,Alex Sandro Lobo Silva,Ederson Santana de Moraes,Right Back,Goalkeeper,3,0.0,-2.267355,0.0,5.5871
Brazil,Alex Sandro Lobo Silva,Fábio Henrique Tavares,Right Back,Left Defensive Midfield,3,0.0,-2.267355,0.0,5.5871
Brazil,Alex Sandro Lobo Silva,Gabriel Fernando de Jesus,Right Back,Center Forward,2,0.0,-1.292465,0.0,8.6198
Brazil,Alex Sandro Lobo Silva,Gleison Bremer Silva Nascimento,Right Back,Left Center Back,3,0.0,-2.267355,0.0,5.5871
Brazil,Alex Sandro Lobo Silva,Pedro Guilherme Abreu dos Santos,Right Back,Center Forward,3,0.0,-2.112783,0.0,6.0679
Brazil,Alex Sandro Lobo Silva,Weverton Pereira da Silva,Right Back,Substitute,3,0.0,-2.267355,0.0,5.5871
Brazil,Alex Sandro Lobo Silva,Éder Gabriel Militão,Right Back,Right Center Back,3,0.021489,-2.50643,0.7831,4.8434
Brazil,Alex Sandro Lobo Silva,Éverton Augusto de Barros Ribeiro,Right Back,Center Attacking Midfield,3,0.0,-2.267355,0.0,5.5871
Brazil,Alisson Ramsés Becker,Antony Matheus dos Santos,Substitute,Right Wing,5,0.008,-2.088001,0.2915,6.145
Brazil,Alisson Ramsés Becker,Bruno Guimarães Rodriguez Moura,Substitute,Right Defensive Midfield,5,0.003873,-2.051233,0.1411,6.2594
Brazil,Alisson Ramsés Becker,Carlos Henrique Casimiro,Substitute,Substitute,5,0.024984,-2.18389,0.9104,5.8467
Brazil,Alisson Ramsés Becker,Daniel Alves da Silva,Substitute,Right Back,5,0.008,-1.956593,0.2915,6.5538
Brazil,Alisson Ramsés Becker,Ederson Santana de Moraes,Substitute,Goalkeeper,5,0.0,-1.884755,0.0,6.7773
Brazil,Alisson Ramsés Becker,Frederico Rodrigues Santos,Substitute,Right Defensive Midfield,5,0.0,-2.158386,0.0,5.9261
Brazil,Alisson Ramsés Becker,Fábio Henrique Tavares,Substitute,Left Defensive Midfield,5,0.0,-1.931053,0.0,6.6333
Brazil,Alisson Ramsés Becker,Gabriel Fernando de Jesus,Substitute,Center Forward,3,0.0,-1.264408,0.0,8.7071
Brazil,Alisson Ramsés Becker,Gabriel Teodoro Martinelli Silva,Substitute,Left Wing,5,0.0,-1.95064,0.0,6.5723
Brazil,Alisson Ramsés Becker,Gleison Bremer Silva Nascimento,Substitute,Left Center Back,5,0.0,-1.971782,0.0,6.5066
Brazil,Alisson Ramsés Becker,Pedro Guilherme Abreu dos Santos,Substitute,Center Forward,5,0.002801,-1.760211,0.1021,7.1647
Brazil,Alisson Ramsés Becker,Richarlison de Andrade,Substitute,Substitute,5,0.0004,-1.681105,0.0146,7.4108
Brazil,Alisson Ramsés Becker,Rodrygo Silva de Goes,Substitute,Center Attacking Midfield,5,0.0,-1.984401,0.0,6.4673
Brazil,Alisson Ramsés Becker,Vinícius José Paixão de Oliveira Júnior,Substitute,Substitute,5,-0.0038,-2.077526,0.0,6.1776
Brazil,Alisson Ramsés Becker,Weverton Pereira da Silva,Substitute,Substitute,5,0.0,-1.904221,0.0,6.7167
Brazil,Alisson Ramsés Becker,Éder Gabriel Militão,Substitute,Right Center Back,5,0.082477,-2.134684,3.0055,5.9998
Brazil,Alisson Ramsés Becker,Éverton Augusto de Barros Ribeiro,Substitute,Center Attacking Midfield,5,0.0,-1.863691,0.0,6.8428
Brazil,Antony Matheus dos Santos,Bruno Guimarães Rodriguez Moura,Right Wing,Right Defensive Midfield,5,0.103427,-2.052444,3.7689,6.2556
Brazil,Antony Matheus dos Santos,Daniel Alves da Silva,Right Wing,Right Back,5,0.162459,-1.957803,5.92,6.5501
Brazil,Antony Matheus dos Santos,Ederson Santana de Moraes,Right Wing,Goalkeeper,5,0.0,-1.885966,0.0,6.7735
Brazil,Antony Matheus dos Santos,Fábio Henrique Tavares,Right Wing,Left Defensive Midfield,5,0.026876,-1.932264,0.9793,6.6295
Brazil,Antony Matheus dos Santos,Gabriel Teodoro Martinelli Silva,Right Wing,Left Wing,5,0.153548,-1.951851,5.5953,6.5686
Brazil,Antony Matheus dos Santos,Gleison Bremer Silva Nascimento,Right Wing,Left Center Back,5,0.018264,-1.972993,0.6655,6.5028
Brazil,Antony Matheus dos Santos,Lucas Tolentino Coelho de Lima,Right Wing,Substitute,5,0.059904,-2.170105,2.1829,5.8896
Brazil,Antony Matheus dos Santos,Neymar da Silva Santos Junior,Right Wing,Center Attacking Midfield,3,0.116393,-2.171413,4.2414,5.8856
Brazil,Antony Matheus dos Santos,Pedro Guilherme Abreu dos Santos,Right Wing,Center Forward,5,0.082453,-1.761422,3.0046,7.161
Brazil,Antony Matheus dos Santos,Raphael Dias Belloli,Right Wing,Right Wing,5,0.0,-2.119717,0.0,6.0464
Brazil,Antony Matheus dos Santos,Richarlison de Andrade,Right Wing,Substitute,5,0.025181,-1.682316,0.9176,7.407
Brazil,Antony Matheus dos Santos,Thiago Emiliano da Silva,Right Wing,Substitute,5,0.11902,-2.311236,4.3371,5.4506
Brazil,Antony Matheus dos Santos,Vinícius José Paixão de Oliveira Júnior,Right Wing,Substitute,5,0.053865,-2.078737,1.9629,6.1739
Brazil,Antony Matheus dos Santos,Weverton Pereira da Silva,Right Wing,Substitute,5,0.0,-1.905431,0.0,6.713
Brazil,Antony Matheus dos Santos,Éder Gabriel Militão,Right Wing,Right Center Back,5,0.333481,-2.135895,10.0,5.996
Brazil,Antony Matheus dos Santos,Éverton Augusto de Barros Ribeiro,Right Wing,Center Attacking Midfield,5,0.057527,-1.864902,2.0963,6.839
Brazil,Bruno Guimarães Rodriguez Moura,Carlos Henrique Casimiro,Right Defensive Midfield,Substitute,5,0.080962,-2.148333,2.9503,5.9574
Brazil,Bruno Guimarães Rodriguez Moura,Daniel Alves da Silva,Right Defensive Midfield,Right Back,5,0.089308,-1.921035,3.2544,6.6644
Brazil,Bruno Guimarães Rodriguez Moura,Danilo Luiz da Silva,Right Defensive Midfield,Left Back,4,0.0,-2.017844,0.0,6.3633
Brazil,Bruno Guimarães Rodriguez Moura,Ederson Santana de Moraes,Right Defensive Midfield,Goalkeeper,5,0.008537,-1.849197,0.3111,6.8879
Brazil,Bruno Guimarães Rodriguez Moura,Frederico Rodrigues Santos,Right Defensive Midfield,Right Defensive Midfield,5,0.0,-2.122829,0.0,6.0367
Brazil,Bruno Guimarães Rodriguez Moura,Fábio Henrique Tavares,Right Defensive Midfield,Left Defensive Midfield,5,0.032199,-1.895496,1.1733,6.7439
Brazil,Bruno Guimarães Rodriguez Moura,Gabriel Fernando de Jesus,Right Defensive Midfield,Center Forward,3,0.022405,-1.222274,0.8164,8.8381
Brazil,Bruno Guimarães Rodriguez Moura,Gabriel Teodoro Martinelli Silva,Right Defensive Midfield,Left Wing,5,0.326612,-1.915083,10.0,6.6829
Brazil,Bruno Guimarães Rodriguez Moura,Gleison Bremer Silva Nascimento,Right Defensive Midfield,Left Center Back,5,0.007928,-1.936225,0.2889,6.6172
Brazil,Bruno Guimarães Rodriguez Moura,Lucas Tolentino Coelho de Lima,Right Defensive Midfield,Substitute,5,0.0,-2.133336,0.0,6.004
Brazil,Bruno Guimarães Rodriguez Moura,Marcos Aoás Corrêa,Right Defensive Midfield,Left Back,5,0.06254,-2.320492,2.279,5.4218
Brazil,Bruno Guimarães Rodriguez Moura,Neymar da Silva Santos Junior,Right Defensive Midfield,Center Attacking Midfield,3,0.0,-1.87252,0.0,6.8153
Brazil,Bruno Guimarães Rodriguez Moura,Pedro Guilherme Abreu dos Santos,Right Defensive Midfield,Center Forward,5,0.276646,-1.724654,10.0,7.2753
Brazil,Bruno Guimarães Rodriguez Moura,Raphael Dias Belloli,Right Defensive Midfield,Right Wing,5,0.062324,-2.082948,2.2711,6.1608
Brazil,Bruno Guimarães Rodriguez Moura,Richarlison de Andrade,Right Defensive Midfield,Substitute,5,0.064985,-1.645548,2.3681,7.5214
Brazil,Bruno Guimarães Rodriguez Moura,Rodrygo Silva de Goes,Right Defensive Midfield,Center Attacking Midfield,5,0.009816,-1.948844,0.3577,6.5779
Brazil,Bruno Guimarães Rodriguez Moura,Thiago Emiliano da Silva,Right Defensive Midfield,Substitute,5,0.039907,-2.274468,1.4542,5.565
Brazil,Bruno Guimarães Rodriguez Moura,Vinícius José Paixão de Oliveira Júnior,Right Defensive Midfield,Substitute,5,0.049472,-2.041968,1.8028,6.2882
Brazil,Bruno Guimarães Rodriguez Moura,Weverton Pereira da Silva,Right Defensive Midfield,Substitute,5,0.0,-1.868663,0.0,6.8273
Brazil,Bruno Guimarães Rodriguez Moura,Éder Gabriel Militão,Right Defensive Midfield,Right Center Back,5,0.056168,-2.099127,2.0468,6.1104
Brazil,Bruno Guimarães Rodriguez Moura,Éverton Augusto de Barros Ribeiro,Right Defensive Midfield,Center Attacking Midfield,5,0.02467,-1.828133,0.899,6.9534
Brazil,Carlos Henrique Casimiro,Daniel Alves da Silva,Substitute,Right Back,5,0.008,-2.053693,0.2915,6.2518
Brazil,Carlos Henrique Casimiro,Ederson Santana de Moraes,Substitute,Goalkeeper,5,0.0,-1.981855,0.0,6.4752
Brazil,Carlos Henrique Casimiro,Fábio Henrique Tavares,Substitute,Left Defensive Midfield,5,0.0,-2.028153,0.0,6.3312
Brazil,Carlos Henrique Casimiro,Gabriel Fernando de Jesus,Substitute,Center Forward,3,0.004284,-1.224405,0.1561,8.8315
Brazil,Carlos Henrique Casimiro,Gabriel Teodoro Martinelli Silva,Substitute,Left Wing,5,0.03254,-2.04774,1.1858,6.2703
Brazil,Carlos Henrique Casimiro,Gleison Bremer Silva Nascimento,Substitute,Left Center Back,5,0.022498,-2.068882,0.8198,6.2045
Brazil,Carlos Henrique Casimiro,Pedro Guilherme Abreu dos Santos,Substitute,Center Forward,5,0.0008,-1.857311,0.0292,6.8627
Brazil,Carlos Henrique Casimiro,Weverton Pereira da Silva,Substitute,Substitute,5,0.0,-2.001321,0.0,6.4147
Brazil,Carlos Henrique Casimiro,Éder Gabriel Militão,Substitute,Right Center Back,5,0.160949,-2.231784,5.865,5.6978
Brazil,Carlos Henrique Casimiro,Éverton Augusto de Barros Ribeiro,Substitute,Center Attacking Midfield,5,0.0,-1.960791,0.0,6.5408
Brazil,Daniel Alves da Silva,Danilo Luiz da Silva,Right Back,Left Back,4,0.0,-1.966952,0.0,6.5216
Brazil,Daniel Alves da Silva,Ederson Santana de Moraes,Right Back,Goalkeeper,5,-0.003,-1.754557,0.0,7.1823
Brazil,Daniel Alves da Silva,Frederico Rodrigues Santos,Right Back,Right Defensive Midfield,5,0.143178,-2.028188,5.2174,6.3311
Brazil,Daniel Alves da Silva,Fábio Henrique Tavares,Right Back,Left Defensive Midfield,5,0.04452,-1.800855,1.6223,7.0383
Brazil,Daniel Alves da Silva,Gabriel Fernando de Jesus,Right Back,Center Forward,3,0.007405,-0.964545,0.2698,9.6399
Brazil,Daniel Alves da Silva,Gabriel Teodoro Martinelli Silva,Right Back,Left Wing,5,0.034692,-1.820443,1.2642,6.9774
Brazil,Daniel Alves da Silva,Gleison Bremer Silva Nascimento,Right Back,Left Center Back,5,0.156532,-1.841585,5.704,6.9116
Brazil,Daniel Alves da Silva,Lucas Tolentino Coelho de Lima,Right Back,Substitute,5,0.029674,-2.038696,1.0813,6.2984
Brazil,Daniel Alves da Silva,Marcos Aoás Corrêa,Right Back,Left Back,5,0.138558,-2.225852,5.0491,5.7162
Brazil,Daniel Alves da Silva,Neymar da Silva Santos Junior,Right Back,Center Attacking Midfield,3,0.0,-1.972515,0.0,6.5043
Brazil,Daniel Alves da Silva,Pedro Guilherme Abreu dos Santos,Right Back,Center Forward,5,0.001312,-1.630013,0.0478,7.5697
Brazil,Daniel Alves da Silva,Raphael Dias Belloli,Right Back,Right Wing,5,0.117987,-1.988308,4.2995,6.4552
Brazil,Daniel Alves da Silva,Richarlison de Andrade,Right Back,Substitute,5,0.009997,-1.550908,0.3643,7.8158
Brazil,Daniel Alves da Silva,Rodrygo Silva de Goes,Right Back,Center Attacking Midfield,5,0.05311,-1.854204,1.9353,6.8723
Brazil,Daniel Alves da Silva,Thiago Emiliano da Silva,Right Back,Substitute,5,0.018967,-2.179827,0.6912,5.8594
Brazil,Daniel Alves da Silva,Vinícius José Paixão de Oliveira Júnior,Right Back,Substitute,5,0.0,-1.947328,0.0,6.5826
Brazil,Daniel Alves da Silva,Weverton Pereira da Silva,Right Back,Substitute,5,0.0004,-1.774023,0.0146,7.1218
Brazil,Daniel Alves da Silva,Éder Gabriel Militão,Right Back,Right Center Back,5,0.230748,-2.004486,8.4085,6.4048
Brazil,Daniel Alves da Silva,Éverton Augusto de Barros Ribeiro,Right Back,Center Attacking Midfield,5,0.055916,-1.733493,2.0376,7.2478
Brazil,Danilo Luiz da Silva,Ederson Santana de Moraes,Left Back,Goalkeeper,4,0.0,-1.891956,0.0,6.7549
Brazil,Danilo Luiz da Silva,Fábio Henrique Tavares,Left Back,Left Defensive Midfield,4,0.0,-1.891956,0.0,6.7549
Brazil,Danilo Luiz da Silva,Gabriel Teodoro Martinelli Silva,Left Back,Left Wing,4,0.0,-1.992752,0.0,6.4413
Brazil,Danilo Luiz da Silva,Gleison Bremer Silva Nascimento,Left Back,Left Center Back,4,0.0,-1.965654,0.0,6.5256
Brazil,Danilo Luiz da Silva,Pedro Guilherme Abreu dos Santos,Left Back,Center Forward,4,0.012736,-1.776027,0.4641,7.1155
Brazil,Danilo Luiz da Silva,Weverton Pereira da Silva,Left Back,Substitute,4,0.0,-1.948972,0.0,6.5775
Brazil,Danilo Luiz da Silva,Éder Gabriel Militão,Left Back,Right Center Back,4,0.144268,-2.146258,5.2572,5.9638
Brazil,Danilo Luiz da Silva,Éverton Augusto de Barros Ribeiro,Left Back,Center Attacking Midfield,4,0.0,-1.891956,0.0,6.7549
Brazil,Ederson Santana de Moraes,Frederico Rodrigues Santos,Goalkeeper,Right Defensive Midfield,5,0.0164,-1.956351,0.5976,6.5546
Brazil,Ederson Santana de Moraes,Fábio Henrique Tavares,Goalkeeper,Left Defensive Midfield,5,-0.0034,-1.729018,0.0,7.2618
Brazil,Ederson Santana de Moraes,Gabriel Fernando de Jesus,Goalkeeper,Center Forward,3,0.033908,-0.944811,1.2356,9.7013
Brazil,Ederson Santana de Moraes,Gabriel Teodoro Martinelli Silva,Goalkeeper,Left Wing,5,0.007073,-1.748605,0.2577,7.2008
Brazil,Ederson Santana de Moraes,Gleison Bremer Silva Nascimento,Goalkeeper,Left Center Back,5,0.073569,-1.769747,2.6809,7.1351
Brazil,Ederson Santana de Moraes,Lucas Tolentino Coelho de Lima,Goalkeeper,Substitute,5,0.0,-1.966858,0.0,6.5219
Brazil,Ederson Santana de Moraes,Marcos Aoás Corrêa,Goalkeeper,Left Back,5,0.0168,-2.154014,0.6122,5.9397
Brazil,Ederson Santana de Moraes,Neymar da Silva Santos Junior,Goalkeeper,Center Attacking Midfield,3,0.0,-1.87252,0.0,6.8153
Brazil,Ederson Santana de Moraes,Pedro Guilherme Abreu dos Santos,Goalkeeper,Center Forward,5,0.0,-1.558176,0.0,7.7932
Brazil,Ederson Santana de Moraes,Raphael Dias Belloli,Goalkeeper,Right Wing,5,0.0,-1.91647,0.0,6.6786
Brazil,Ederson Santana de Moraes,Richarlison de Andrade,Goalkeeper,Substitute,5,0.0,-1.47907,0.0,8.0393
Brazil,Ederson Santana de Moraes,Rodrygo Silva de Goes,Goalkeeper,Center Attacking Midfield,5,0.024748,-1.782366,0.9018,7.0958
Brazil,Ederson Santana de Moraes,Thiago Emiliano da Silva,Goalkeeper,Substitute,5,0.0,-2.10799,0.0,6.0829
Brazil,Ederson Santana de Moraes,Vinícius José Paixão de Oliveira Júnior,Goalkeeper,Substitute,5,0.0,-1.875491,0.0,6.8061
Brazil,Ederson Santana de Moraes,Weverton Pereira da Silva,Goalkeeper,Substitute,5,0.0,-1.702185,0.0,7.3452
Brazil,Ederson Santana de Moraes,Éder Gabriel Militão,Goalkeeper,Right Center Back,5,0.03455,-1.932649,1.259,6.6283
Brazil,Ederson Santana de Moraes,Éverton Augusto de Barros Ribeiro,Goalkeeper,Center Attacking Midfield,5,0.009238,-1.661655,0.3366,7.4713
Brazil,Frederico Rodrigues Santos,Fábio Henrique Tavares,Right Defensive Midfield,Left Defensive Midfield,5,0.015733,-2.002649,0.5733,6.4105
Brazil,Frederico Rodrigues Santos,Gabriel Teodoro Martinelli Silva,Right Defensive Midfield,Left Wing,5,0.051128,-2.022236,1.8631,6.3496
Brazil,Frederico Rodrigues Santos,Gleison Bremer Silva Nascimento,Right Defensive Midfield,Left Center Back,5,0.0192,-2.043378,0.6997,6.2838
Brazil,Frederico Rodrigues Santos,Lucas Tolentino Coelho de Lima,Right Defensive Midfield,Substitute,5,0.06432,-2.24049,2.3438,5.6707
Brazil,Frederico Rodrigues Santos,Neymar da Silva Santos Junior,Right Defensive Midfield,Center Attacking Midfield,3,0.000911,-2.169233,0.0332,5.8923
Brazil,Frederico Rodrigues Santos,Pedro Guilherme Abreu dos Santos,Right Defensive Midfield,Center Forward,5,0.002234,-1.831807,0.0814,6.942
Brazil,Frederico Rodrigues Santos,Richarlison de Andrade,Right Defensive Midfield,Substitute,5,0.0,-1.752701,0.0,7.1881
Brazil,Frederico Rodrigues Santos,Vinícius José Paixão de Oliveira Júnior,Right Defensive Midfield,Substitute,5,0.021745,-2.149122,0.7924,5.9549
Brazil,Frederico Rodrigues Santos,Weverton Pereira da Silva,Right Defensive Midfield,Substitute,5,0.0,-1.975816,0.0,6.494
Brazil,Frederico Rodrigues Santos,Éder Gabriel Militão,Right Defensive Midfield,Right Center Back,5,0.093515,-2.20628,3.4077,5.7771
Brazil,Frederico Rodrigues Santos,Éverton Augusto de Barros Ribeiro,Right Defensive Midfield,Center Attacking Midfield,5,0.0,-1.935286,0.0,6.6201
Brazil,Fábio Henrique Tavares,Gabriel Fernando de Jesus,Left Defensive Midfield,Center Forward,3,0.057023,-1.021974,2.0779,9.4612
Brazil,Fábio Henrique Tavares,Gabriel Teodoro Martinelli Silva,Left Defensive Midfield,Left Wing,5,0.078249,-1.794903,2.8514,7.0568
Brazil,Fábio Henrique Tavares,Gleison Bremer Silva Nascimento,Left Defensive Midfield,Left Center Back,5,0.030874,-1.816045,1.1251,6.991
Brazil,Fábio Henrique Tavares,Lucas Tolentino Coelho de Lima,Left Defensive Midfield,Substitute,5,0.0,-2.013157,0.0,6.3779
Brazil,Fábio Henrique Tavares,Marcos Aoás Corrêa,Left Defensive Midfield,Left Back,5,0.052728,-2.200312,1.9214,5.7957
Brazil,Fábio Henrique Tavares,Neymar da Silva Santos Junior,Left Defensive Midfield,Center Attacking Midfield,3,0.0,-1.87252,0.0,6.8153
Brazil,Fábio Henrique Tavares,Pedro Guilherme Abreu dos Santos,Left Defensive Midfield,Center Forward,5,0.001352,-1.604474,0.0493,7.6492
Brazil,Fábio Henrique Tavares,Raphael Dias Belloli,Left Defensive Midfield,Right Wing,5,0.018445,-1.962769,0.6721,6.5346
Brazil,Fábio Henrique Tavares,Richarlison de Andrade,Left Defensive Midfield,Substitute,5,0.0,-1.525368,0.0,7.8953
Brazil,Fábio Henrique Tavares,Rodrygo Silva de Goes,Left Defensive Midfield,Center Attacking Midfield,5,0.032564,-1.828664,1.1866,6.9518
Brazil,Fábio Henrique Tavares,Thiago Emiliano da Silva,Left Defensive Midfield,Substitute,5,0.0,-2.154288,0.0,5.9388
