team,player1,player2,p1_pos,p2_pos,co_games,joi90,jdi90,offensive,defensive
Poland,Kamil Glik,Nicola Zalewski,Right Center Back,Left Midfield,4,0.0,-3.547269,0.0,1.6056
Poland,Kamil Glik,Robert Gumny,Right Center Back,Substitute,4,0.0,-3.337967,0.0,2.2566
Poland,Kamil Glik,Robert Lewandowski,Right Center Back,Center Forward,4,0.031904,-3.40417,1.1626,2.0507
Poland,Kamil Glik,Sebastian Szymański,Right Center Back,Left Center Midfield,4,0.016697,-3.537053,0.6084,1.6373
Poland,Kamil Glik,Szymon Żurkowski,Right Center Back,Substitute,4,0.0,-3.337967,0.0,2.2566
Poland,Kamil Glik,Łukasz Skorupski,Right Center Back,Substitute,4,0.0,-3.337967,0.0,2.2566
Poland,Kamil Grabara,Kamil Grosicki,Substitute,Substitute,4,0.0,-3.025902,0.0,3.2274
Poland,Kamil Grabara,Karol Świderski,Substitute,Substitute,4,0.0,-3.00927,0.0,3.2792
Poland,Kamil Grabara,Krystian Bielik,Substitute,Left Defensive Midfield,4,0.0,-3.340559,0.0,2.2486
Poland,Kamil Grabara,Krzysztof Piątek,Substitute,Substitute,4,0.0,-2.889429,0.0,3.652
Poland,Kamil Grabara,Mateusz Wieteska,Substitute,Substitute,4,0.0,-2.889083,0.0,3.653
Poland,Kamil Grabara,Matty Cash,Substitute,Right Back,4,0.0,-3.16406,0.0,2.7976
Poland,Kamil Grabara,Michał Skóraś,Substitute,Substitute,4,0.0,-3.067308,0.0,3.0986
Poland,Kamil Grabara,Nicola Zalewski,Substitute,Left Midfield,4,0.0,-3.098385,0.0,3.0019
Poland,Kamil Grabara,Piotr Zieliński,Substitute,Right Center Midfield,4,0.0,-3.222016,0.0,2.6173
Poland,Kamil Grabara,Przemysław Frankowski,Substitute,Left Midfield,4,0.0,-3.216973,0.0,2.633
Poland,Kamil Grabara,Robert Gumny,Substitute,Substitute,4,0.0,-2.889083,0.0,3.653
Poland,Kamil Grabara,Robert Lewandowski,Substitute,Center Forward,4,0.0,-2.955286,0.0,3.4471
Poland,Kamil Grabara,Sebastian Szymański,Substitute,Left Center Midfield,4,0.0,-3.088169,0.0,3.0337
Poland,Kamil Grabara,Szymon Żurkowski,Substitute,Substitute,4,0.0,-2.889083,0.0,3.653
Poland,Kamil Grabara,Wojciech Szczęsny,Substitute,Goalkeeper,4,0.0,-2.936341,0.0,3.506
Poland,Kamil Grabara,Łukasz Skorupski,Substitute,Substitute,4,0.0,-2.889083,0.0,3.653
Poland,Kamil Grosicki,Karol Świderski,Substitute,Substitute,4,0.0,-3.146089,0.0,2.8535
Poland,Kamil Grosicki,Krystian Bielik,Substitute,Left Defensive Midfield,4,0.0,-3.477378,0.0,1.823
Poland,Kamil Grosicki,Krzysztof Piątek,Substitute,Substitute,4,0.0,-3.026248,0.0,3.2263
Poland,Kamil Grosicki,Mateusz Wieteska,Substitute,Substitute,4,0.0,-3.025902,0.0,3.2274
Poland,Kamil Grosicki,Matty Cash,Substitute,Right Back,4,0.0,-3.300879,0.0,2.372
Poland,Kamil Grosicki,Michał Skóraś,Substitute,Substitute,4,0.0,-3.204128,0.0,2.673
Poland,Kamil Grosicki,Nicola Zalewski,Substitute,Left Midfield,4,0.0,-3.235204,0.0,2.5763
Poland,Kamil Grosicki,Piotr Zieliński,Substitute,Right Center Midfield,4,0.008531,-3.358835,0.3109,2.1917
